wall_time,carla_frame,gps_timestamp,latitude,longitude,altitude,gps_noisy_timestamp,latitude_noisy,longitude_noisy,altitude_noisy,imu_timestamp,accel_x,accel_y,accel_z,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,compass_deg,speed_kmh,throttle,brake,steer,reverse,hand_brake
2026-09-24T14:54:38.867,7454,109.34994468666264,0.00021993976501738215,-0.0005719601800364184,1.9741064310073853,109.34994468666264,0.00015538949178056354,-0.0005050043733489442,-2.671481490135193,109.34994468666264,0.0012482586316764355,-0.0006284707342274487,9.052851676940918,-6.701701681768612e-05,1.1694050737307962e-06,2.5819583876386757e-09,90.15920055365282,0.4265941590074683,0.0,0.0,0.0,False,False
2026-09-24T14:54:38.924,7455,109.4078764525766,0.00021993976501738215,-0.0005719601800364184,1.9820034503936768,109.4078764525766,0.0002665816146390469,-0.0006155969463860824,2.9321879744529724,109.4078764525766,-0.001246522064320743,0.0012534683337435126,8.997852325439453,4.487506379171009e-05,1.7885754089014017e-06,4.162932605927153e-09,90.15920055365282,0.301418736577196,0.0,0.0,0.0,False,False
2026-09-24T14:54:39.140,7459,109.62729630447575,0.00021993976501738215,-0.0005719601800364184,1.995517373085022,109.62729630447575,0.0002715132368820676,-0.0006098739655270915,0.6243562698364258,109.62729630447575,0.0024982537142932415,-0.0006319439271464944,9.536758422851562,3.5834844878843823e-05,1.7196498882882177e-06,-1.9906010362688453e-09,90.15920055365282,0.06481593623903577,0.0,0.0,0.0,False,False
2026-09-24T14:54:39.193,7460,109.68037649817416,0.00021993976501738215,-0.0005719601800364184,1.9966557025909424,109.68037649817416,0.00026615165647575197,-0.0006618418233982961,4.610319137573242,109.68037649817416,-1.7365781559419702e-06,-0.0006249975995160639,9.612656593322754,4.6427648353467385e-05,1.744831332034425e-06,5.270128218310144e-09,90.15920055365282,0.04250558652253409,0.0,0.0,0.0,False,False
2026-09-24T14:54:39.412,7464,109.95251710541197,0.00021993976501738215,-0.0005719601800364184,1.9985921382904053,109.95251710541197,0.0003125730736855374,-0.0005929141321529609,8.473849058151245,109.8987538201327,-0.0024947805795818567,0.0018819390097633004,9.756172180175781,-9.99663826957504e-06,-1.8620218157388053e-05,-3.887283473348755e-09,90.15920055365282,0.008514884664220401,0.0,0.0,0.0,False,False
2026-09-24T14:54:39.469,7465,109.95251710541197,0.00021993976501738215,-0.0005719601800364184,1.9985921382904053,109.95251710541197,0.0003125730736855374,-0.0005929141321529609,8.473849058151245,109.95251710541197,0.0024982537142932415,-0.0006319439271464944,9.804610252380371,4.3465156979185996e-05,2.19684138203354e-06,-6.048580108539725e-10,90.15920055365282,0.004320579419361501,0.0,0.0,0.0,False,False
2026-09-24T14:54:39.689,7469,110.17784827403375,0.00021993976501738215,-0.0005719601800364184,1.998767614364624,110.17784827403375,0.00022844243271441227,-0.0005678600810596403,1.0550457239151,110.17784827403375,-0.0024982537142932415,0.0006319439271464944,9.797735214233398,0.0,0.0,0.0,90.15920055365282,0.0,0.0,0.0,0.0,False,False
2026-09-24T14:54:39.742,7470,110.22967934436747,0.00021993976501738215,-0.0005719601800364184,1.998767614364624,110.22967934436747,0.00015090128094646642,-0.0005310383463210168,0.5669591426849365,110.22967934436747,-1.7365781559419702e-06,-0.0006249975995160639,9.8100004196167,0.0,0.0,0.0,90.15920055365282,0.0,0.0,0.0,0.0,False,False
2026-09-24T14:54:39.961,7474,110.50244169510552,0.00021993976501738215,-0.0005719601800364184,1.998767614364624,110.44780106670805,0.00017373880932330647,-0.0006310823051307093,-2.7707855701446533,110.44780106670805,0.0024982537142932415,-0.0006319439271464944,9.8100004196167,0.0,0.0,0.0,90.15920055365282,0.0,0.0,0.0,0.0,False,False
2026-09-24T14:54:40.021,7475,110.50244169510552,0.00021993976501738215,-0.0005719601800364184,1.998767614364624,110.50244169510552,0.00021885719677078013,-0.0006127302481899246,16.79643702507019,110.50244169510552,0.0024999903980642557,-6.946312623767881e-06,9.809961318969727,0.0,0.0,0.0,90.15920055365282,0.0,0.0,0.0,0.0,False,False
2026-09-24T14:54:40.235,7479,110.77597677908489,0.00021993976501738215,-0.0005719601800364184,1.998767614364624,110.72141118175932,0.0002685330301091497,-0.0004637455027249384,11.873639822006226,110.72141118175932,3.4731563118839404e-06,0.0012499951990321279,9.8100004196167,0.0,0.0,0.0,90.15920055365282,0.0,0.0,0.0,0.0,False,False
2026-09-24T14:54:40.290,7480,110.77597677908489,0.00021993976501738215,-0.0005719601800364184,1.998767614364624,110.77597677908489,0.00018394089515544036,-0.000546392510454913,4.148218631744385,110.77597677908489,-0.002496517263352871,0.0012569414684548974,9.810039520263672,0.0,0.0,0.0,90.15920055365282,0.0,0.0,0.0,0.0,False,False
2026-09-24T14:54:40.501,7484,110.989895375591,0.00021993976501738215,-0.0005719601800364184,1.998767614364624,110.989895375591,0.00022456941728426753,-0.0005440959890392118,-0.1668384075164795,110.989895375591,0.0024999903980642557,-6.946312623767881e-06,9.810039520263672,0.0,0.0,0.0,90.15920055365282,0.0,0.0,0.0,0.0,False,False
2026-09-24T14:54:40.556,7485,111.0966310632939,0.00021993976501738215,-0.0005719601800364184,1.998767614364624,111.04256152189919,0.0002612644539539659,-0.0005281219424204177,-4.192343473434448,111.04256152189919,-0.004996507428586483,0.0012638878542929888,9.8100004196167,0.0,0.0,0.0,90.15920055365282,0.0,0.0,0.0,0.0,False,False
